"Id","SalePrice"
1461,119319.751290925
1462,154449.972803316
1463,198165.717958942
1464,199503.683943279
1465,191855.437848004
1466,175862.060361631
1467,181946.972472441
1468,168011.576174049
1469,192884.788449781
1470,123285.686372946
1471,194524.666655089
1472,97125.8603408861
1473,99187.908002851
1474,149035.006275293
1475,110354.325994419
1476,368215.194367107
1477,250371.174051404
1478,284933.41684937
1479,276980.677192106
1480,529967.671816301
1481,350751.105543588
1482,211324.285251597
1483,176681.669472192
1484,163483.015560802
1485,180424.75175626
1486,196982.233213605
1487,337348.377208146
1488,241518.510544599
1489,200555.929920128
1490,232458.251738485
1491,191041.892391831
1492,91727.1931400357
1493,196486.76749006
1494,292530.27504464
1495,292647.792032057
1496,233850.335536079
1497,181779.310870917
1498,161700.084438011
1499,158411.805465045
1500,155868.709307042
1501,175368.662700013
1502,146860.373325053
1503,271512.063108947
1504,242755.523528552
1505,225060.65456702
1506,195182.987015138
1507,262092.147628125
1508,202800.656693396
1509,155516.115216923
1510,149742.250768953
1511,150658.851250139
1512,182652.313038198
1513,142318.59946567
1514,166773.688593197
1515,197067.28832682
1516,150040.79752167
1517,164626.674527808
1518,133240.291220725
1519,218930.357977874
1520,132853.187759076
1521,134761.424875844
1522,172198.756553653
1523,115144.061872453
1524,123717.952251188
1525,120532.436464042
1526,117285.457531071
1527,101399.107384863
1528,132809.577971136
1529,152490.347020805
1530,183775.661936818
1531,107289.948287704
1532,97582.6152830375
1533,149434.537628614
1534,122118.081098468
1535,158328.421749103
1536,113131.204499737
1537,78538.5922448981
1538,148993.167287946
1539,181615.647093733
1540,87240.7379412382
1541,137006.50757884
1542,140334.110564319
1543,190817.224814671
1544,81138.8174311141
1545,110904.732866381
1546,129948.913398792
1547,129765.834865599
1548,131599.063653635
1549,116276.309833471
1550,137968.710884672
1551,108351.180239674
1552,147508.933573978
1553,141983.016155024
1554,117808.312267177
1555,171395.263124045
1556,81360.7584081511
1557,106723.733488098
1558,90567.3788460091
1559,100790.547894083
1560,133913.539454071
1561,130796.486759314
1562,128989.752448369
1563,122179.266557701
1564,168096.998983367
1565,149061.526558018
1566,235300.982973235
1567,76070.0687919815
1568,231640.540610076
1569,143563.548238773
1570,134046.17455342
1571,122130.427805356
1572,146744.358223798
1573,246301.901282689
1574,116205.538482516
1575,226507.424448802
1576,257927.611176013
1577,182204.569579519
1578,135318.640905853
1579,153795.405272096
1580,192318.847400422
1581,152884.653632962
1582,124662.089648787
1583,326911.477031463
1584,222915.647619237
1585,138755.015174408
1586,65259.2321784084
1587,96432.125317438
1588,151995.797825682
1589,104502.615533891
1590,129054.13817703
1591,96528.9664970189
1592,120517.154272098
1593,119579.11275812
1594,128353.789055739
1595,123828.970908003
1596,232342.949544079
1597,196657.163262126
1598,210699.899859737
1599,165180.095125143
1600,161448.527471342
1601,66544.246303999
1602,112881.340689825
1603,80288.4700383745
1604,274340.947706415
1605,241149.783623561
1606,170890.858823627
1607,165626.882078951
1608,218424.348558169
1609,183625.171610798
1610,160343.987197223
1611,141633.562385346
1612,179096.548010781
1613,176398.872985186
1614,126960.985522922
1615,89468.2917273404
1616,76366.6893700711
1617,90637.7727343652
1618,122570.258874027
1619,143155.179206308
1620,186372.678820771
1621,143522.430307837
1622,142850.246141213
1623,280859.426901235
1624,219066.14492725
1625,115392.864726342
1626,168197.370405771
1627,191055.73859576
1628,283007.18833416
1629,176424.314778237
1630,375955.889327618
1631,223189.538971704
1632,241563.51470915
1633,169262.855024251
1634,191926.79071818
1635,179982.290031304
1636,155040.635325871
1637,210581.839162808
1638,188607.137200787
1639,187289.190566412
1640,262556.576021057
1641,183618.572609291
1642,229258.611168289
1643,222706.617286459
1644,235063.896774426
1645,209539.863294689
1646,157455.227431986
1647,152433.926176984
1648,131961.753116826
1649,139347.510569663
1650,116457.549014504
1651,123765.432603287
1652,97992.1431797181
1653,101970.585161236
1654,144495.988420352
1655,137180.454131204
1656,142989.926814768
1657,145437.179110999
1658,144320.559208441
1659,113913.431153021
1660,157351.272783905
1661,465901.383200014
1662,408683.209411791
1663,381376.593144502
1664,547460.866528458
1665,304074.025682273
1666,342398.47179443
1667,366289.651964908
1668,330204.666421579
1669,291665.486007398
1670,340248.359213793
1671,268187.175476707
1672,474564.806463455
1673,293894.239290085
1674,246015.936021655
1675,198007.884625677
1676,198567.258335528
1677,224834.265680075
1678,511619.513436153
1679,400815.213770649
1680,343681.952950402
1681,240608.86175611
1682,308897.279880551
1683,182332.86006389
1684,168940.381665601
1685,172250.000502444
1686,168358.887028832
1687,168972.270059411
1688,191250.938669318
